gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations,age_group,type,district
Girl,10,16,1,3,2,1,0,3,3,3,3,2,1,1,3,3,3,2,3,6,6,1,8,2,8,1,1,1,1,2,3,2,2,4,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,14-17 years,pre,jalgaon
Girl,6,12,1,3,3,1,0,3,3,3,3,2,1,1,3,3,3,2,3,6,6,1,8,2,8,1,1,1,1,2,3,2,2,4,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,10-13 years,pre,jalgaon
Girl,9,15,1,3,2,1,0,3,3,3,3,2,1,1,3,3,3,2,3,6,6,1,8,2,8,1,1,1,1,2,3,2,2,4,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,14-17 years,pre,jalgaon
Girl,7,12,1,3,3,1,0,3,3,3,3,2,1,1,3,3,3,2,3,6,6,1,8,2,8,1,1,1,1,2,3,2,2,4,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,10-13 years,pre,jalgaon
Girl,7,12,1,3,2,3,1,3,3,1,3,2,1,3,1,3,3,2,3,6,6,1,8,4,1,8,1,3,2,2,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,6,1,10-13 years,pre,jalgaon
Boy,8,13,1,3,2,3,1,3,3,1,3,2,1,3,1,3,3,2,3,6,2,1,8,4,1,8,1,3,2,2,2,2,2,4,1,1,1,0,1,1,0,0,1,1,1,1,1,1,6,1,10-13 years,pre,jalgaon
Girl,9,15,1,3,2,3,1,3,3,1,3,2,1,3,1,3,3,2,3,6,6,1,8,4,1,8,1,3,2,2,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,6,1,14-17 years,pre,jalgaon
Boy,7,12,1,3,3,3,1,3,3,3,3,0,3,3,0,0,3,2,3,6,2,1,8,4,1,8,1,3,2,2,3,3,2,4,1,0,1,0,1,1,0,0,1,1,1,1,1,1,6,1,10-13 years,pre,jalgaon
Girl,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,6,4,4,4,8,4,1,1,2,2,3,1,2,4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,14-17 years,pre,jalgaon
Girl,9,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,6,4,4,4,8,8,1,1,2,2,3,1,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,10-13 years,pre,jalgaon
Girl,9,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,6,6,4,4,4,8,8,1,1,2,2,3,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,10-13 years,pre,jalgaon
Girl,9,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,3,2,1,3,3,2,4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,10-13 years,pre,jalgaon
Girl,7,,1,1,1,2,3,0,0,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,2,0,0,0,3,1,0,1,0,0,1,1,1,0,0,0,0,1,2,4,1,,pre,jalgaon
